INET Link Characteristic File
 228     1.0     1.0     1.0     1.0     1.0
  -1   19  198  0.500 -60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0 10002   0   0 00000 11111
  -2   20  197  0.500  60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0 10002   0   0 00000 11111
  -3  199   17  0.500 -60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  -4   17  199  0.500 -60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0 10002   0   0 00000 11111
  -5  200   18  0.500  60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  -6   18  200  0.500  60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0 10002   0   0 00000 11111
  -7  198   19  0.500 -60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  -8  197   20  0.500  60.0 1600.0  1.0  0.00  40.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  10   11  111  1.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  11  111  110  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  12  110  109  0.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  13  109  108  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  14  108  107  1.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  15   21  112  1.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  16  107  106  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  17  112  113  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  18  106  105  0.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  19  113  114  0.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  20  105  104  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  21  114  115  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  22  104  103  1.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  23  115  116  1.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  24  103  102  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  25  116  117  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  26  102  101  0.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  27  117  118  0.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  28  101  100  0.250 100.0 2200.0  4.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  29  118  119  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  30  100    3  1.500 100.0 2200.0  3.0  0.00  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  31  119  120  1.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  32  120  121  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  33  121  122  0.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  34  122  123  0.250 100.0 2200.0  4.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  35  123   22  1.500 100.0 2200.0  3.0  0.05  70.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  50  110  135  0.200  85.0 2000.0  1.0  0.00  50.0 120.0   0  0    0   0   0     0   0   0 00000 11111
  51  135  185  0.070  85.0 2000.0  1.0  0.00  50.0 120.0  52  0 3600   0   0     0   0   0 00000 11111
  52  185  136  0.200  85.0 2000.0  1.0  0.00  50.0 120.0   0  0    0   0   0     0   0   0 00000 11111
