  Report of vehicles en-route at end of simulation
    link position   car dist status orig dest arrt wait1 wait2 wait3 wait4 wait5
   16   49    358    0.179     0     3     8   203 999999    213    262      0      0
   16   50    481    0.151     0     5    10   207 999999    213    263      0      0
   16   51    112    0.133     0     6    10   207 999999    213    264   1847      0
   16   52    485    0.086     0     5    10   210 999999    213    265      0      0
   16   53    154    0.073     0     6     1   209 999999    213    266      0      0
   16   54    486    0.072     0     5    10   210 999999    213    266      0      0
   16   55    190    0.022     0     6     1   211 999999    213    211      0      0
   16   56    488    0.011     0     5    10   212 999999    213    211      0      0
   18    1    469    0.295    30     5    10   193    205    206    203   2131      0
   18    2    497    0.231    20     5    10   205 999999    213    215      0      0
   18    3    498    0.226    20     5    10   205 999999    213    215      0      0
   18    4    500    0.209     0     5    10   206 999999    213    215      0      0
   18    5    504    0.146     0     5    10   208 999999    213    218      0      0
   18    6    515    0.086     0     5    10   210 999999    213    220      0      0
   18    7    519    0.071     0     5    10   210 999999    213    220      0      0
   18    8    521    0.040     0     5    10   211 999999    213    221      0      0
   18    9    522    0.007     0     5    10   212 999999    213    222      0      0
   19    1    525    0.579    30     5    10   193 999999    213    213      0      0
   19    2    528    0.552    20     5    10   194 999999    213    214      0      0
   19    3    533    0.509    20     5    10   196 999999    213    215      0      0
   19    4    534    0.500     0     5    10   196 999999    213    216      0      0
   19    5    537    0.469     0     5    10   197 999999    213    217      0      0
   19    6    539    0.438     0     5    10   197 999999    213    218      0      0
   19    7    540    0.433     0     5    10   197 999999    213    218      0      0
   19    8    544    0.394     0     5    10   199 999999    213    219      0      0
   19    9    554    0.309     0     5    10   202 999999    213    222      0      0
   19   10    559    0.269     0     5    10   204 999999    213    223      0      0
   19   11    565    0.158     0     5    10   207 999999    213    227      0      0
   19   12    566    0.154     0     5    10   208 999999    213    227      0      0
   19   13    568    0.132     0     5    10   208 999999    213    228      0      0
   19   14    572    0.097     0     5    10   209 999999    213    229      0      0
   19   15    575    0.061     0     5    10   211 999999    213    230      0      0
   19   16    576    0.061     0     5    10   211 999999    213    230      0      0
   21    1    276    0.565    20    10     5   194 999999    213    214      0      0
   21    2    267    0.562    20    10     5   194 999999    213    214      0      0
   21    3    281    0.466     0    10     5   197 999999    213    217      0      0
   21    4    274    0.465     0    10     5   197 999999    213    217      0      0
   21    5    284    0.377     0    10     5   200 999999    213    220      0      0
   21    6    272    0.375     0    10     5   200 999999    213    220      0      0
   21    7    288    0.293     0    10     5   203 999999    213    223      0      0
   21    8    280    0.290     0    10     5   203 999999    213    223      0      0
   21    9    291    0.215     0    10     5   205 999999    213    225      0      0
   21   10    287    0.212     0    10     5   205 999999    213    225      0      0
   21   11     22    0.206    20     1     5   206 999999    213    225      0      0
   21   12    298    0.139     0    10     5   208 999999    213    228      0      0
   21   13    285    0.139     0    10     5   208 999999    213    228      0      0
   21   14    230    0.132     0    10     5   208 999999    213    228   1322      0
   21   15    302    0.068     0    10     5   210 999999    213    230      0      0
   21   16    308    0.063     0    10     5   211 999999    213    230      0      0
   23    1    300    0.293    30    10     5   203 999999    213    213      0      0
   23    2    314    0.280    30    10     5   203 999999    213    213      0      0
   23    3    236    0.276    30    10     5   203 999999    213    213   1377      0
   23    4    313    0.217     0    10     5   205 999999    213    215      0      0
   23    5    289    0.214     0    10     5   205 999999    213    215      0      0
   23    6    319    0.199     0    10     5   206 999999    213    216      0      0
   23    7    309    0.161     0    10     5   207 999999    213    217      0      0
   23    8    317    0.144     0    10     5   208 999999    213    218      0      0
   23    9    326    0.119     0    10     5   209 999999    213    218      0      0
   23   10    315    0.109     0    10     5   209 999999    213    219      0      0
   23   11    324    0.074     0    10     5   210 999999    213    220      0      0
   23   12    321    0.050     0    10     5   211 999999    213    221      0      0
   23   13    333    0.040     0    10     5   211 999999    213    221      0      0
   23   14    332    0.007     0    10     5   212 999999    213    222      0      0
   25    1    331    1.683    30    10     5   153 999999    213    213      0      0
   25    2    340    1.653    20    10     5   157 999999    213    214      0      0
   25    3    338    1.637    20    10     5   156 999999    213    215      0      0
   25    4    334    1.620     0    10     5   156 999999    213    215      0      0
   25    5    348    1.567     0    10     5   159 999999    213    217      0      0
   25    6    350    1.565     0    10     5   160 999999    213    217      0      0
   25    7    345    1.558     0    10     5   159 999999    213    217      0      0
   25    8    353    1.496     0    10     5   161 999999    213    219      0      0
   25    9    361    1.468     0    10     5   164 999999    213    220      0      0
   25   10    367    1.390     0    10     5   167 999999    213    223      0      0
   25   11    372    1.360     0    10     5   168 999999    213    224      0      0
   25   12     56    1.207     0     9     5   171 999999    213    229      0      0
   25   13    388    1.159     0    10     5   175 999999    213    230      0      0
   25   14    390    1.122     0    10     5   176 999999    213    231      0      0
   25   15     91    1.100     0     9     4   174 999999    213    232      0      0
   25   16    394    1.025     0    10     5   179 999999    213    235      0      0
   25   17    106    1.013     0     9     4   177 999999    213    235      0      0
   25   18    395    1.008     0    10     5   179 999999    213    235      0      0
   25   19    143    0.936     0     9     4   179 999999    213    238      0      0
   25   20    404    0.929     0    10     5   181 999999    213    238      0      0
   25   21    409    0.914     0    10     5   182 999999    213    238      0      0
   25   22    279    0.863     0     8     3   181 999999    213    240      0      0
   25   23    304    0.792     0     8     3   184 999999    213    242      0      0
   25   24    403    0.789     0    10     5   184 999999    213    242      0      0
   25   25    423    0.783     0    10     5   187 999999    213    243      0      0
   25   26    186    0.720     0     2     7   186 999999    213    245   1637      0
   25   27    418    0.711     0    10     5   186 999999    213    245      0      0
   25   28    146    0.649     0     1     7   189 999999    213    247      0      0
   25   29    431    0.645     0    10     5   189 999999    213    247      0      0
   25   30    438    0.637     0    10     5   192 999999    213    247      0      0
   25   31    202    0.580     0     1     6   191 999999    213    249      0      0
   25   32    427    0.548     0    10     5   192 999999    213    250      0      0
   25   33    444    0.543     0    10     5   194 999999    213    250      0      0
   25   34    443    0.479     0    10     5   194 999999    213    252      0      0
   25   35    455    0.465     0    10     5   197 999999    213    253      0      0
   25   36    393    0.458     0    10     5   193 999999    213    253   1932      0
   25   37    445    0.420     0    10     5   196 999999    213    254      0      0
   25   38    187    0.387     0     9     5   195 999999    213    255      0      0
   25   39    439    0.340     0    10     5   199 999999    213    257      0      0
   25   40    212    0.328     0     9     5   198 999999    213    257      0      0
   25   41    466    0.327     0    10     5   202 999999    213    257      0      0
   25   42    462    0.281     0    10     5   200 999999    213    259      0      0
   25   43    414    0.257     0    10     5   200 999999    213    260   1982      0
   25   44    472    0.256     0    10     5   204 999999    213    260      0      0
   25   45    476    0.205     0    10     5   206 999999    213    261      0      0
   25   46    465    0.204     0    10     5   202 999999    213    261      0      0
   25   47    479    0.180     0    10     5   207 999999    213    262      0      0
   25   48    473    0.157     0    10     5   205 999999    213    263      0      0
   25   49    483    0.127     0    10     5   208 999999    213    264      0      0
   25   50    482    0.114     0    10     5   208 999999    213    264      0      0
   25   51    487    0.064     0    10     5   211 999999    213    266      0      0
   25   52    489    0.027     0    10     5   212 999999    213    267      0      0
   25   53    490    0.025     0    10     5   212 999999    213    267      0      0
   26    1    492    0.276    30    10     5   203 999999    213    213      0      0
   26    2    499    0.211    20    10     5   206 999999    213    215      0      0
   26    3    501    0.188    20    10     5   206 999999    213    216      0      0
   26    4    502    0.177     0    10     5   207 999999    213    217      0      0
   26    5    506    0.128     0    10     5   208 999999    213    218      0      0
   26    6    507    0.107     0    10     5   209 999999    213    219      0      0
   26    7    509    0.101     0    10     5   209 999999    213    219      0      0
   26    8    511    0.059     0    10     5   211 999999    213    220      0      0
   26    9    512    0.039     0    10     5   211 999999    213    221      0      0
   26   10    513    0.033     0    10     5   212 999999    213    221      0      0
   28    1    517    0.594    30    10     5   191 999999    213    213      0      0
   28    2    527    0.554    20    10     5   194 999999    213    214      0      0
   28    3    529    0.544    20    10     5   194 999999    213    214      0      0
   28    4    530    0.525     0    10     5   194 999999    213    215      0      0
   28    5    532    0.485     0    10     5   195 999999    213    216      0      0
   28    6    535    0.474     0    10     5   196 999999    213    217      0      0
   28    7    536    0.458     0    10     5   196 999999    213    217      0      0
   28    8    538    0.424     0    10     5   197 999999    213    218      0      0
   28    9    543    0.406     0    10     5   198 999999    213    219      0      0
   28   10    549    0.369     0    10     5   200 999999    213    220      0      0
   28   11    550    0.353     0    10     5   200 999999    213    221      0      0
   28   12    551    0.340     0    10     5   201 999999    213    221      0      0
   28   13    553    0.298     0    10     5   202 999999    213    222      0      0
   28   14    556    0.279     0    10     5   203 999999    213    223      0      0
   28   15    557    0.265     0    10     5   204 999999    213    223      0      0
   28   16    560    0.232     0    10     5   205 999999    213    225      0      0
   28   17    561    0.178     0    10     5   207 999999    213    226      0      0
   28   18    570    0.123     0    10     5   209 999999    213    228      0      0
   28   19    573    0.105     0    10     5   209 999999    213    229      0      0
   31    1     25    0.994    30     6     8   143    209    209    204   2131      0
   31    2     63    0.983     0     6     8   149 999999    213    213      0      0
   31    3     77    0.944    20     6     9   156 999999    213    216      0      0
   31    4    257    0.097     0     6     9   207 999999    213    267   1121      0
   32    1    294    0.807    20     6     8   164 999999    213    224   1270      0
   32    2    337    0.162     0     6     8   202 999999    213    263      0      0
   33    1    396    0.469    20     6     5   182 999999    213    214      0      0
   33    2    451    0.341     0     6    10   191 999999    213    222      0      0
   33    3    470    0.212     0     6     5   198 999999    213    230      0      0
   33    4    474    0.155     0     6     2   202 999999    213    233      0      0
   33    5    478    0.112    20     6     7   205 999999    213    236      0      0
   33    6    480    0.062     0     6     9   208 999999    213    239      0      0
   34    1    508    0.245    30     6     2   188    208    209    204      0      0
   34    2    518    0.243    30     6    10   190    210    212    206      0      0
   34    3    526    0.234     0     6     7   193 999999    213    209      0      0
   34    4    546    0.194     0     6     9   199 999999    213    215      0      0
   34    5    552    0.172     0     6     7   201 999999    213    217      0      0
   34    6    564    0.086     0     6    10   207 999999    213    222      0      0
   37    1     19    0.993    30     9     6   153 999999    213    213      0      0
   37    2     61    0.988    30     9     7   153 999999    213    213      0      0
   37    3    140    0.725     0     9     7   169 999999    213    229      0      0
   38    1    171    0.993    30     9     7   151 999999    213    213      0      0
   38    2    226    0.896     0     9     6   157 999999    213    219      0      0
   38    3    191    0.849    20     9     7   154 999999    213    222      0      0
   38    4    246    0.830    20     9     6   161 999999    213    223      0      0
   38    5    245    0.776     0     9     7   158 999999    213    226      0      0
   38    6    364    0.008     0     9     7   212 999999    213    194      0      0
   39    1    363    0.492    30     9     5   160 999999    213    197      0      0
   39    2    219    0.492    30     1     8   167 999999    213    199   1651      0
   39    3    410    0.479     0     9     5   178 999999    213    210      0      0
   39    4    417    0.450     0     9     8   184 999999    213    216      0      0
   39    5    429    0.420     0     9     6   186 999999    213    217      0      0
   39    6    459    0.309     0     9     8   192 999999    213    224      0      0
   39    7    293    0.272     0     1     8   193 999999    213    226   1891      0
   39    8    461    0.257     0     9     7   195 999999    213    227      0      0
   39    9    464    0.206     0     9    10   199 999999    213    230      0      0
   39   10    468    0.165     0     9    10   201 999999    213    233      0      0
   39   11    503    0.001     0     9     4   213 999999    213    203      0      0
   40    1    514    0.244    30     9     6   189    209    210    205      0      0
   40    2    558    0.139     0     9     3   204 999999    213    219      0      0
   40    3    562    0.095     0     9     8   207 999999    213    222      0      0
   40    4    571    0.059     0     9     4   209 999999    213    224      0      0
   40    5    574    0.036     0     9     6   210 999999    213    225      0      0
   40    6    577    0.012     0     9     7   212 999999    213    227      0      0
   41    1    343    0.994    30     1     8   144    209    210    205   2101      0
   41    2    347    0.982     0     1     9   147 999999    213    210      0      0
   41    3    428    0.634     0     1     8   174 999999    213    234      0      0
   41    4    448    0.501     0     1     8   182 999999    213    242      0      0
   41    5    475    0.329     0     1     9   193 999999    213    253      0      0
   42    1    386    0.694    20     9     1   170 999999    213    231      0      0
   42    2    416    0.522     0     9     2   180 999999    213    241      0      0
   45    1    328    0.334    20     1     7   191 999999    213    213      0      0
   45    2    359    0.255     0     1    10   196 999999    213    218      0      0
   45    3    371    0.129     0     1    10   204 999999    213    226      0      0
